Namn;Id;Cat SV;Include;Namn (ENG)
Ljud & Bild;32;IT  Media & Elektronik;No;
Ljud- & Ljusanläggningar;389;IT  Media & Elektronik;No;
Mediabyråer;519;IT  Media & Elektronik;No;
Mediaproduktion;560;IT  Media & Elektronik;No;
Mobiltelefoner;47;IT  Media & Elektronik;No;
Mät- & Precisionsutrustningar;549;IT  Media & Elektronik;No;
Nyhetsbyråer;173;IT  Media & Elektronik;No;
Optik- & Urindustrier;551;IT  Media & Elektronik;No;
PR-byråer;520;IT  Media & Elektronik;No;
Profil & Reklamartiklar;517;IT  Media & Elektronik;No;
Radioproduktion;28;IT  Media & Elektronik;No;
Reklam & PR;247;IT  Media & Elektronik;No;
Reklam- & Annonsbyråer;513;IT  Media & Elektronik;No;
Skyltar & Utställningsmaterial;518;IT  Media & Elektronik;No;
Teknik - Konsulter & Analyser;406;IT  Media & Elektronik;No;
Telekommunikation;6;IT  Media & Elektronik;No;
Telekomutrustningar;550;IT  Media & Elektronik;No;
Telemarketing & Callcenter;250;IT  Media & Elektronik;No;
Tidningar & Tidskrifter;97;IT  Media & Elektronik;No;
Tryckerier & Bokbinderier;228;IT  Media & Elektronik;No;
TV-bolag;30;IT  Media & Elektronik;No;
Webbyråer;410;IT  Media & Elektronik;No;
Jobb & Utbildning;;;No;
Arbetsgivarorganisationer;253;Jobb & Utbildning;No;
Bransch- & Yrkesorganisationer;362;Jobb & Utbildning;No;
Daghem  Förskolor & Fritidshem;175;Jobb & Utbildning;No;
Fackliga organisationer;261;Jobb & Utbildning;No;
Försäkrings- & Arbetslöshetskassa;372;Jobb & Utbildning;No;
Grundskolor;192;Jobb & Utbildning;No;
Gymnasium;374;Jobb & Utbildning;No;
Personalutbildningar;401;Jobb & Utbildning;No;
Rekrytering & Personaluthyrning;245;Jobb & Utbildning;No;
Studentorganisationer;95;Jobb & Utbildning;No;
Trafikskolor;177;Jobb & Utbildning;No;
Universitet & Högskolor;188;Jobb & Utbildning;No;
Vuxenutbildningar;96;Jobb & Utbildning;No;
Yrkesutbildningar;1039;Jobb & Utbildning;No;
Kultur  Nöjen & Evenemang;;;No;
Artister & Artistförmedlingar;141;Kultur  Nöjen & Evenemang;No;
Ballong-  Fallskärms- & Skärmflygning;25;Kultur  Nöjen & Evenemang;No;
Barer & Pubar;293;Kultur  Nöjen & Evenemang;No;
Bibliotek;86;Kultur  Nöjen & Evenemang;No;
Biljardhallar;139;Kultur  Nöjen & Evenemang;No;
Biografer;142;Kultur  Nöjen & Evenemang;No;
Bokförlag;33;Kultur  Nöjen & Evenemang;No;
Bokhandel;62;Kultur  Nöjen & Evenemang;No;
Bowlinghallar;140;Kultur  Nöjen & Evenemang;No;
Båtrundturer;569;Kultur  Nöjen & Evenemang;No;
Catering;291;Kultur  Nöjen & Evenemang;No;
Dans & Danslektioner;143;Kultur  Nöjen & Evenemang;No;
Discjockey;144;Kultur  Nöjen & Evenemang;No;
Djurparker & Botaniska trädgårdar;365;Kultur  Nöjen & Evenemang;No;
Eventarrangörer;259;Kultur  Nöjen & Evenemang;No;
Film- & Musikproduktion;26;Kultur  Nöjen & Evenemang;No;
Friluftsaktiviteter & Äventyrssporter;370;Kultur  Nöjen & Evenemang;No;
Författare;599;Kultur  Nöjen & Evenemang;No;
Kanotuthyrning;568;Kultur  Nöjen & Evenemang;No;
Konserthallar;99;Kultur  Nöjen & Evenemang;No;
Konstgallerier;87;Kultur  Nöjen & Evenemang;No;
Konstnärer & Illustratörer;596;Kultur  Nöjen & Evenemang;No;
Konstnärlig  Litterär & Artistisk verksamhet;593;Kultur  Nöjen & Evenemang;No;
Kultur- & Fritidsverksamhet;1359;Kultur  Nöjen & Evenemang;No;
Ljud- & Ljusanläggningar;389;Kultur  Nöjen & Evenemang;No;
Mediaproduktion;560;Kultur  Nöjen & Evenemang;No;
Minigolfbanor;396;Kultur  Nöjen & Evenemang;No;
Museer;91;Kultur  Nöjen & Evenemang;No;
Nattklubbar & Diskotek;145;Kultur  Nöjen & Evenemang;No;
Nöjesfält & Tivoli;146;Kultur  Nöjen & Evenemang;No;
Paintball & Lasergame;571;Kultur  Nöjen & Evenemang;No;
Radioproduktion;28;Kultur  Nöjen & Evenemang;No;
Skivbolag;403;Kultur  Nöjen & Evenemang;No;
Skjutbanor;441;Kultur  Nöjen & Evenemang;No;
Spel & Lotterier;148;Kultur  Nöjen & Evenemang;No;
Teatrar;100;Kultur  Nöjen & Evenemang;No;
Tidningar & Tidskrifter;97;Kultur  Nöjen & Evenemang;No;
Travbanor & Galoppbanor;149;Kultur  Nöjen & Evenemang;No;
Tryckerier & Bokbinderier;228;Kultur  Nöjen & Evenemang;No;
TV-bolag;30;Kultur  Nöjen & Evenemang;No;
Nödsituationer;;;No;
Allergiläkare & Lungspecialister;612;Nödsituationer;No;
Allmänläkare;597;Nödsituationer;No;
Ambulans & Sjuktransport;462;Nödsituationer;No;
Barnavårdscentraler;103;Nödsituationer;No;
Barnläkare;600;Nödsituationer;No;
Brand- & Räddningstjänst;361;Nödsituationer;No;
Bärgningar;150;Nödsituationer;No;
Gynekologer & Förlossningsläkare;601;Nödsituationer;No;
Hudläkare & Könssjukdomar;603;Nödsituationer;No;
Kardiologer & Hjärtspecialister;605;Nödsituationer;No;
Kirurger;606;Nödsituationer;No;
Krisjourer;604;Nödsituationer;No;
Larm & Bevakning;2;Nödsituationer;No;
Läkare;107;Nödsituationer;No;
Lås- & Nyckelservice;159;Nödsituationer;No;
Mödravårdscentraler;526;Nödsituationer;No;
Neurologer;607;Nödsituationer;No;
Plastikkirurger;608;Nödsituationer;No;
Polis;191;Nödsituationer;No;
Psykiatriker;609;Nödsituationer;No;
Sjukvårdsupplysningar;499;Nödsituationer;No;
Specialistläkare;598;Nödsituationer;No;
Specialisttandläkare;1199;Nödsituationer;No;
Tandläkare;113;Nödsituationer;No;
Telekommunikation;6;Nödsituationer;No;
Urologer;616;Nödsituationer;No;
Veterinärer;114;Nödsituationer;No;
Vårdcentraler;115;Nödsituationer;No;
Ögonläkare;610;Nödsituationer;No;
Öron- Näsa- & Halsläkare;611;Nödsituationer;No;
Offentlig sektor & Samhälle;;;No;
Allergiläkare & Lungspecialister;612;Offentlig sektor & Samhälle;No;
Allmänläkare;597;Offentlig sektor & Samhälle;No;
Alternativmedicin;419;Offentlig sektor & Samhälle;No;
Ambulans & Sjuktransport;462;Offentlig sektor & Samhälle;No;
Apotek;102;Offentlig sektor & Samhälle;No;
Arbetsgivarorganisationer;253;Offentlig sektor & Samhälle;No;
Barnavårdscentraler;103;Offentlig sektor & Samhälle;No;
Barnläkare;600;Offentlig sektor & Samhälle;No;
Begravningsbyråer;183;Offentlig sektor & Samhälle;No;
Brand- & Räddningstjänst;361;Offentlig sektor & Samhälle;No;
Bransch- & Yrkesorganisationer;362;Offentlig sektor & Samhälle;No;
Daghem  Förskolor & Fritidshem;175;Offentlig sektor & Samhälle;No;
Dentallab;761;Offentlig sektor & Samhälle;No;
Detektivbyråer;743;Offentlig sektor & Samhälle;No;
Distriktssköterskor;464;Offentlig sektor & Samhälle;No;
Domstolsväsendet;185;Offentlig sektor & Samhälle;No;
Fackliga organisationer;261;Offentlig sektor & Samhälle;No;
Fotvård;369;Offentlig sektor & Samhälle;No;
Försvaret;371;Offentlig sektor & Samhälle;No;
Försäkrings- & Arbetslöshetskassa;372;Offentlig sektor & Samhälle;No;
Gaturenhållning  Avlopps- & Avfallshantering;359;Offentlig sektor & Samhälle;No;
Grundskolor;192;Offentlig sektor & Samhälle;No;
Gymnasium;374;Offentlig sektor & Samhälle;No;
Gynekologer & Förlossningsläkare;601;Offentlig sektor & Samhälle;No;
Hjälp-  Stöd- & Intresseorganisationer;85;Offentlig sektor & Samhälle;No;
Hudläkare & Könssjukdomar;603;Offentlig sektor & Samhälle;No;
Husläkare;467;Offentlig sektor & Samhälle;No;
Idrottsföreningar & Idrottsförbund;19;Offentlig sektor & Samhälle;No;
Kardiologer & Hjärtspecialister;605;Offentlig sektor & Samhälle;No;
Kirurger;606;Offentlig sektor & Samhälle;No;
Krisjourer;604;Offentlig sektor & Samhälle;No;
Läkare;107;Offentlig sektor & Samhälle;No;
Missbruksrådgivning & Behandlingshem;536;Offentlig sektor & Samhälle;No;
Mödravårdscentraler;526;Offentlig sektor & Samhälle;No;
Neurologer;607;Offentlig sektor & Samhälle;No;
Offentliga myndigheter;399;Offentlig sektor & Samhälle;No;
Personliga assistenter;402;Offentlig sektor & Samhälle;No;
Plastikkirurger;608;Offentlig sektor & Samhälle;No;
Polis;191;Offentlig sektor & Samhälle;No;
Politiska organisationer;92;Offentlig sektor & Samhälle;No;
Psykiatriker;609;Offentlig sektor & Samhälle;No;
Psykologer;110;Offentlig sektor & Samhälle;No;
Psykoterapeuter;1059;Offentlig sektor & Samhälle;No;
Religiösa Samfund;93;Offentlig sektor & Samhälle;No;
Samhälls- & Omsorgsverksamhet;1379;Offentlig sektor & Samhälle;No;
Sjukgymnaster;120;Offentlig sektor & Samhälle;No;
Sjukhus & Lasarett;111;Offentlig sektor & Samhälle;No;
Specialistläkare;598;Offentlig sektor & Samhälle;No;
Specialisttandläkare;1199;Offentlig sektor & Samhälle;No;
Studentorganisationer;95;Offentlig sektor & Samhälle;No;
Svenska kyrkan;1219;Offentlig sektor & Samhälle;No;
Tandläkare;113;Offentlig sektor & Samhälle;No;
Tolkservice & Översättningar;319;Offentlig sektor & Samhälle;No;
Ungdomsmottagning & Preventivmedelsrådgivning;470;Offentlig sektor & Samhälle;No;
Universitet & Högskolor;188;Offentlig sektor & Samhälle;No;
Urologer;616;Offentlig sektor & Samhälle;No;
Vattenverk;226;Offentlig sektor & Samhälle;No;
Veterinärer;114;Offentlig sektor & Samhälle;No;
Vuxenutbildningar;96;Offentlig sektor & Samhälle;No;
Vårdcentraler;115;Offentlig sektor & Samhälle;No;
Äldreomsorg;461;Offentlig sektor & Samhälle;No;
Ögonläkare;610;Offentlig sektor & Samhälle;No;
Öppen Hälso- & Sjukvård;466;Offentlig sektor & Samhälle;No;
Öron- Näsa- & Halsläkare;611;Offentlig sektor & Samhälle;No;
Resor & Hotell;;;No;
Ambassader;178;Resor & Hotell;No;
Biluthyrning;127;Resor & Hotell;No;
Bussar - Linjetrafik & Expressbussar;639;Resor & Hotell;No;
Bussbolag;128;Resor & Hotell;No;
Bussresearrangörer & Bussuthyrning;515;Resor & Hotell;No;
Båttaxi;475;Resor & Hotell;No;
Båtuthyrning;564;Resor & Hotell;No;
Campingplatser;129;Resor & Hotell;No;
Charter- & Taxiflyg;7;Resor & Hotell;No;
Flyg;130;Resor & Hotell;No;
Flygbolag;561;Resor & Hotell;No;
Flygplatser;562;Resor & Hotell;No;
Fordonsuthyrning;563;Resor & Hotell;No;
Färjetrafik & Rederier;131;Resor & Hotell;No;
Hotell & Pensionat;132;Resor & Hotell;No;
Husbils-  Släpvagns- & Husvagnsuthyrning;565;Resor & Hotell;No;
Järnvägsstationer;133;Resor & Hotell;No;
Konferens- & Mässarrangörer;592;Resor & Hotell;No;
Konferensanläggningar & Kursgårdar;590;Resor & Hotell;No;
Konferenser & Mässor;3;Resor & Hotell;No;
Limousineservice;474;Resor & Hotell;No;
Resebyråer & Charterresor;134;Resor & Hotell;No;
Skidanläggningar;29;Resor & Hotell;No;
SPA-anläggningar;404;Resor & Hotell;No;
Stugor & Stugbyar;135;Resor & Hotell;No;
Taxi;180;Resor & Hotell;No;
Turistbyråer;136;Resor & Hotell;No;
Tåg- & Spårtrafik;137;Resor & Hotell;No;
Vandrarhem;138;Resor & Hotell;No;
Växlingskontor;181;Resor & Hotell;No;
Restaurang  Mat & Dryck;;;No;
Bagerier;263;Restaurang  Mat & Dryck;No;
Barer & Pubar;293;Restaurang  Mat & Dryck;No;
Bryggerier  Vin- & Spritproducenter;544;Restaurang  Mat & Dryck;No;
Caféer;264;Restaurang  Mat & Dryck;No;
Catering;291;Restaurang  Mat & Dryck;No;
Dryckesvaruindustrier;219;Restaurang  Mat & Dryck;No;
Food court;1319;Restaurang  Mat & Dryck;No;
Franska restauranger;503;Restaurang  Mat & Dryck;No;
Frukt-  Bär- & Grönsaksodlingar;235;Restaurang  Mat & Dryck;No;
Grekiska restauranger;511;Restaurang  Mat & Dryck;No;
Hamburgerrestauranger & Gatukök;266;Restaurang  Mat & Dryck;No;
Hälsokost;105;Restaurang  Mat & Dryck;No;
Indiska restauranger;507;Restaurang  Mat & Dryck;No;
Italienska restauranger;501;Restaurang  Mat & Dryck;No;
Jour- & Servicebutiker;267;Restaurang  Mat & Dryck;No;
Juice- & Saftindustrier;547;Restaurang  Mat & Dryck;No;
Kaffe- & Teindustrier;546;Restaurang  Mat & Dryck;No;
Kinesiska restauranger;509;Restaurang  Mat & Dryck;No;
Konfektyr & Godisaffärer;384;Restaurang  Mat & Dryck;No;
Kontinentala restauranger;512;Restaurang  Mat & Dryck;No;
Lant- & Jordbruk;8;Restaurang  Mat & Dryck;No;
Livsmedelsbutiker;268;Restaurang  Mat & Dryck;No;
Livsmedelsindustrier;388;Restaurang  Mat & Dryck;No;
Mat- & Dryckesautomater;602;Restaurang  Mat & Dryck;No;
Mejerier;543;Restaurang  Mat & Dryck;No;
Mineralvatten- & Läskedryckesindustrier;545;Restaurang  Mat & Dryck;No;
Nattklubbar & Diskotek;145;Restaurang  Mat & Dryck;No;
Pizzerior;284;Restaurang  Mat & Dryck;No;
Restauranger & Serveringar;269;Restaurang  Mat & Dryck;No;
Saluhallar;290;Restaurang  Mat & Dryck;No;
Slakterier;10;Restaurang  Mat & Dryck;No;
Sushirestauranger;508;Restaurang  Mat & Dryck;No;
Svenska restauranger;505;Restaurang  Mat & Dryck;No;
Systembolag & Ombud;292;Restaurang  Mat & Dryck;No;
Thairestauranger;506;Restaurang  Mat & Dryck;No;
Sport & Hobby;;;No;
Badmintonhallar;482;Sport & Hobby;No;
Ballong-  Fallskärms- & Skärmflygning;25;Sport & Hobby;No;
Biljardhallar;139;Sport & Hobby;No;
Bowlinghallar;140;Sport & Hobby;No;
Båtklubbar;570;Sport & Hobby;No;
Båtrundturer;569;Sport & Hobby;No;
Cykelförsäljning & Cykelverkstäder;78;Sport & Hobby;No;
Cykeluthyrning;538;Sport & Hobby;No;
Dans & Danslektioner;143;Sport & Hobby;No;
Djuraffärer;64;Sport & Hobby;No;
Djurparker & Botaniska trädgårdar;365;Sport & Hobby;No;
Dykerier;1299;Sport & Hobby;No;
Fotbollsplaner;1259;Sport & Hobby;No;
Foto;18;Sport & Hobby;No;
Fotoaffärer;566;Sport & Hobby;No;
Fotografer;567;Sport & Hobby;No;
Friluftsaktiviteter & Äventyrssporter;370;Sport & Hobby;No;
Garner  Tyger & Sybehör;48;Sport & Hobby;No;
Go Kart;533;Sport & Hobby;No;
Golfbanor & Golfklubbar;122;Sport & Hobby;No;
Golfbutiker;476;Sport & Hobby;No;
Gym & Motion;104;Sport & Hobby;No;
Hobbyartiklar;613;Sport & Hobby;No;
Hovslagare;576;Sport & Hobby;No;
Hundpensionat;762;Sport & Hobby;No;
Husdjursskötsel;760;Sport & Hobby;No;
Hästsportbutiker;379;Sport & Hobby;No;
Hästuppfödningar & Stuterier;380;Sport & Hobby;No;
Idrottsföreningar & Idrottsförbund;19;Sport & Hobby;No;
Ishallar;478;Sport & Hobby;No;
Jakt- & Fiskeutrustning;17;Sport & Hobby;No;
Kanotuthyrning;568;Sport & Hobby;No;
Kattpensionat;35;Sport & Hobby;No;
Kennlar & Kennelklubbar;90;Sport & Hobby;No;
Konstgallerier;87;Sport & Hobby;No;
Leksaker;614;Sport & Hobby;No;
Leksaks-  Spel- & Hobbybutiker;54;Sport & Hobby;No;
Minigolfbanor;396;Sport & Hobby;No;
Mopedförsäljning & Mopedverkstäder;539;Sport & Hobby;No;
Motorsportbanor;20;Sport & Hobby;No;
Museer;91;Sport & Hobby;No;
Musikaffärer;66;Sport & Hobby;No;
Paintball & Lasergame;571;Sport & Hobby;No;
Pyroteknik & Fyrverkerier;740;Sport & Hobby;No;
Ridklubbar & Ridskolor;21;Sport & Hobby;No;
Sadelmakare;500;Sport & Hobby;No;
Scoutkårer;679;Sport & Hobby;No;
Simhallar & Utomhusbad;31;Sport & Hobby;No;
Skidanläggningar;29;Sport & Hobby;No;
Skivbolag;403;Sport & Hobby;No;
Skjutbanor;441;Sport & Hobby;No;
Släktforskning;98;Sport & Hobby;No;
Spel & Lotterier;148;Sport & Hobby;No;
Sport- & Idrottsanläggningar;123;Sport & Hobby;No;
Sport- & Idrottshallar;484;Sport & Hobby;No;
Sportaffärer & Friluftsutrustning;73;Sport & Hobby;No;
Squashhallar;480;Sport & Hobby;No;
Tavlor & Ramar;57;Sport & Hobby;No;
Tennisklubbar & Tennisbanor;124;Sport & Hobby;No;
Travbanor & Galoppbanor;149;Sport & Hobby;No;
TV- & Dataspel;615;Sport & Hobby;No;
Viltvård & Fiskevatten;89;Sport & Hobby;No;
Yoga & Meditation;116;Sport & Hobby;No;
