Namn;Id;Cat SV;Include;Namn (ENG)
Arkitekter;254;Bygg & Byggmaterial;No;
Badrumsinredningar;43;Bygg & Byggmaterial;No;
Balkonger & Balkonginstallationer;524;Bygg & Byggmaterial;No;
Betongvaror & Cement;528;Bygg & Byggmaterial;No;
Bygg- & Anläggningsarbeten;522;Bygg & Byggmaterial;No;
Byggmaskiner & Byggverktyg;580;Bygg & Byggmaterial;No;
Byggmästare & Byggnadsentreprenörer;193;Bygg & Byggmaterial;No;
Byggnadsställningar;640;Bygg & Byggmaterial;No;
Byggprojektering & Byggkonstruktion;1079;Bygg & Byggmaterial;No;
Byggvaror & Järnaffärer;36;Bygg & Byggmaterial;No;
Dörrar & Portar;298;Bygg & Byggmaterial;No;
Elartiklar;38;Bygg & Byggmaterial;No;
Elektriker;156;Bygg & Byggmaterial;No;
Fasadbehandling;44;Bygg & Byggmaterial;No;
Fastighetsbolag;13;Bygg & Byggmaterial;No;
Färg & Tapeter;39;Bygg & Byggmaterial;No;
Gjuterier;741;Bygg & Byggmaterial;No;
Glas & Fönster;1;Bygg & Byggmaterial;No;
Golvbutiker;40;Bygg & Byggmaterial;No;
Golvläggare;158;Bygg & Byggmaterial;No;
Gummi- & Plastvaruindustrier;373;Bygg & Byggmaterial;No;
Hissar & Rulltrappor;440;Bygg & Byggmaterial;No;
Husarkitekter;465;Bygg & Byggmaterial;No;
Husrivningar;1239;Bygg & Byggmaterial;No;
Hustillverkare;297;Bygg & Byggmaterial;No;
Inredningsarkitekter;469;Bygg & Byggmaterial;No;
Isolering;41;Bygg & Byggmaterial;No;
Järnvaror;525;Bygg & Byggmaterial;No;
Kakel & Klinkers;301;Bygg & Byggmaterial;No;
Kakelugnar & Kaminer;558;Bygg & Byggmaterial;No;
Kemikalieindustrier & Kemiska produkter;383;Bygg & Byggmaterial;No;
Kökssnickerier;386;Bygg & Byggmaterial;No;
Landskaps- & Trädgårdsarkitekter;463;Bygg & Byggmaterial;No;
Mark- & Anläggningsentreprenader;220;Bygg & Byggmaterial;No;
Maskinindustrier;232;Bygg & Byggmaterial;No;
Murare & Stensättare;397;Bygg & Byggmaterial;No;
Målare;160;Bygg & Byggmaterial;No;
Plåtslagerier;236;Bygg & Byggmaterial;No;
Presenningar & Kapell;529;Bygg & Byggmaterial;No;
Pumpar & Pumputrustning;583;Bygg & Byggmaterial;No;
Snickare;165;Bygg & Byggmaterial;No;
Solvärme & Vindkraft;552;Bygg & Byggmaterial;No;
Sotare;166;Bygg & Byggmaterial;No;
Sten & Stenhuggerier;534;Bygg & Byggmaterial;No;
Sågverk;229;Bygg & Byggmaterial;No;
Takentreprenörer & Takläggare;168;Bygg & Byggmaterial;No;
Tapetserare;405;Bygg & Byggmaterial;No;
Tegel & Takpannor;532;Bygg & Byggmaterial;No;
Trädgårdsmaskiner & Trädgårdsredskap;535;Bygg & Byggmaterial;No;
Trävaror;530;Bygg & Byggmaterial;No;
Ventilation;233;Bygg & Byggmaterial;No;
VVS & Rörmokare;170;Bygg & Byggmaterial;No;
Värmepumpar & Värmeväxlare;556;Bygg & Byggmaterial;No;
Yrkeskläder;217;Bygg & Byggmaterial;No;
Ekonomi & Juridik;;;No;
Advokater;699;Ekonomi & Juridik;No;
Arbetsgivarorganisationer;253;Ekonomi & Juridik;No;
Banker;14;Ekonomi & Juridik;No;
Bostadsrättsföreningar;12;Ekonomi & Juridik;No;
Bransch- & Yrkesorganisationer;362;Ekonomi & Juridik;No;
Domstolsväsendet;185;Ekonomi & Juridik;No;
Finansbolag;262;Ekonomi & Juridik;No;
Fond-  Kapitalförvaltning & Värdepapper;367;Ekonomi & Juridik;No;
Försäkrings- & Arbetslöshetskassa;372;Ekonomi & Juridik;No;
Investmentbolag & Riskkapitalbolag;382;Ekonomi & Juridik;No;
Jurister;700;Ekonomi & Juridik;No;
Kreditupplysningar & Inkasso;252;Ekonomi & Juridik;No;
Leasingbolag;243;Ekonomi & Juridik;No;
Pantbanker;161;Ekonomi & Juridik;No;
Patentbyråer;244;Ekonomi & Juridik;No;
Redovisning  Revision & Skatterådgivning;249;Ekonomi & Juridik;No;
Stiftelser & Fonder;477;Ekonomi & Juridik;No;
Växlingskontor;181;Ekonomi & Juridik;No;
Företagstjänster;;Ekonomi & Juridik;No;
Advokater;699;Ekonomi & Juridik;No;
Arbetsgivarorganisationer;253;Ekonomi & Juridik;No;
Artister & Artistförmedlingar;141;Ekonomi & Juridik;No;
Banker;14;Ekonomi & Juridik;No;
Bildbyråer;521;Ekonomi & Juridik;No;
Bransch- & Yrkesorganisationer;362;Ekonomi & Juridik;No;
Bud & Kurir;162;Ekonomi & Juridik;No;
Catering;291;Ekonomi & Juridik;No;
Charter- & Taxiflyg;7;Ekonomi & Juridik;No;
Containrar;1019;Ekonomi & Juridik;No;
Direktmarknadsföring & Direktreklam;516;Ekonomi & Juridik;No;
Etiketter & Etikettryckerier;573;Ekonomi & Juridik;No;
Eventarrangörer;259;Ekonomi & Juridik;No;
